,Country,Average number of fairness points
0,North Korea,0.67
1,Spain,1.14
2,Argentina,1.4
3,South Korea,1.5
4,England,1.5
5,Greece,1.67
6,Italy,1.67
7,Cameroon,1.67
8,Ivory Coast,1.67
9,Japan,1.75
10,Paraguay,1.8
11,Germany,2.0
12,Denmark,2.0
13,New Zealand,2.0
14,Ghana,2.2
15,U.S.A.,2.25
16,Mexico,2.25
17,Honduras,2.33
18,Uruguay,2.43
19,Slovakia,2.75
20,Brazil,3.0
21,South Africa,3.0
22,Slovenia,3.0
23,Portugal,3.25
24,Algeria,3.33
25,Nigeria,3.33
26,France,3.33
27,"Netherlands, the",3.57
28,Serbia,3.67
29,Chile,3.75
30,Switzerland,4.33
31,Australia,5.67
