,Country,Area in square kilometers
0,Cuba,110860
1,Dominican Republic,48670
2,Haiti,27750
3,Bahamas,13880
4,Jamaica,10991
5,Puerto Rico,9104
6,Trinidad and Tobago,5128
7,Virgin Islands (US),1910
8,Turks and Caicos Islands,948
9,Dominica,751
10,Saint Lucia,616
11,Curaçao,444
12,Antigua and Barbuda,443
13,Barbados,430
14,Saint Vincent andthe Grenadines,389
15,Grenada,344
16,Cayman Islands,264
17,Saint Kitts and Nevis,261
18,Aruba,180
19,Virgin Islands (UK),151
20,Montserrat,102
21,Anguilla,91
22,Saint Martin,54
23,Bermuda,54
24,Sint Maarten,34
25,Saint Barthélemy,25
