,Year,Gross domestic product in billion international dollars
0,2021*,37.4
1,2020*,34.75
2,2019,36.92
3,2018,35.15
4,2017,32.97
5,2016,31.01
6,2015,28.75
7,2014,27.53
8,2013,27.54
9,2012,28.96
10,2011,29.43
11,2010,28.72
12,2009,27.83
13,2008,28.18
14,2007,26.67
15,2006,24.72
16,2005,22.91
17,2004,21.19
18,2003,19.65
19,2002,18.79
20,2001,17.84
21,2000,16.79
22,1999,15.5
23,1998,14.55
24,1997,13.56
25,1996,12.99
26,1995,12.6
27,1994,11.23
28,1993,10.38
29,1992,10.07
30,1991,9.0
31,1990,8.64
32,1989,7.76
33,1988,6.91
34,1987,6.16
35,1986,5.61
36,1985,5.31
37,1984,4.91
