,Response,Share of respondents*
0,Technology makes getting in touch with family members easier,74%
1,Technology devices make one feel more connected,59%
2,Communication technology enables constant dialogue wth family and friends,58%
3,Social networks are a great way to feel close to family and friends,45%
4,Technology has little impact on one's frequency of communication with friends or family,45%
5,Technology makes it easier to arrange meetings with family members,45%
6,Mobile technology enhances interactions with immediate family,43%
7,Internet encourages contact with family or friends,43%
8,Uncomfortable with finding out about life of family members via social network,42%
9,Technology has led to less face-to-face interactions among families,36%
10,Uncomfortable knowing family members can monitor one's activity on social media,32%
11,Uncomfortable with family members being able to get in touch at any time,29%
12,Social media helps understanding family members better,20%
13,Playing online games with family members helps connect with them,18%
