,Country,Number of supplier factories
0,China,330
1,Turkey,112
2,India,91
3,Bangladesh,88
4,Sri Lanka,39
5,United Kingdom,38
6,Cambodia,33
7,Vietnam,28
8,Italy,15
9,Myanmar,14
10,Pakistan,11
11,Portugal,8
12,Indonesia,8
13,Taiwan,7
14,Thailand,7
15,Poland,7
16,Morocco,6
17,Egypt,5
18,Romania,3
19,Georgia,3
20,Bulgaria,2
21,Germany,2
22,Netherlands,2
23,Madagascar,2
24,Nepal,2
25,Serbia,2
26,Slovenia,2
27,Brazil,1
28,Belarus,1
29,Tunisia,1
30,France,1
31,Estonia,1
32,Spain,1
33,USA,1
34,Hong Kong,1
35,Hungary,1
36,Lithuania,1
37,Northern Mariana Islands,1
38,Philippines,1
39,Ukraine,1
40,United Arab Emirates,1
