,Entrepreneur (source of wealth),Net worth in billion U.S. dollars
0,Michael Bloomberg(Bloomberg L.P.),31.0
1,Anne Cox Chambers(Cox Enterprises),13.5
2,Rupert Murdoch(News Corp.),13.4
3,"Samuel Newhouse, Jr.(Advance Publications)",8.9
4,Donald Newhouse(Advance Publications),8.2
5,Jim Kennedy(Cox Enterprises),6.7
6,John Malone(Liberty Media),6.7
7,Blair Parry-Okeden(Cox Enterprises),6.7
8,David Geffen(films and music),6.0
9,Sumner Redstone(Viacom/CBS),5.8
10,Patrick McGovern(International Data Group),5.1
11,George Lucas(films),4.2
12,Martha Ingram(books),3.4
13,Haim Saban(TV),3.4
14,Charles Dolan(Cablevision),3.3
