,Month,Land Rover,Jaguar
0,Dec `19,2.9%,1.24%
1,Nov `19,3.68%,1.55%
2,Oct `19,4.02%,1.69%
3,Sep `19,3.73%,1.76%
4,Aug `19,1.81%,1.13%
5,Jul '19,2.64%,1.6%
6,Jun '19,2.91%,1.32%
7,May '19,3.3%,1.58%
8,Apr '19,3.53%,1.62%
9,Mar '19,3.64%,1.79%
10,Feb '19,1.9%,1.21%
11,Jan '19,3.48%,1.32%
12,Dec '18,3%,1.6%
13,Nov '18,4%,1.71%
14,Oct '18,4.52%,2.16%
15,Sep '18,3.79%,2.08%
16,Aug '18,2.34%,1.32%
17,Jul '18,2.34%,1.36%
18,Jun `18,2.56%,1.26%
19,May `18,3.41%,1.59%
20,Apr '18,2.99%,1.44%
21,Mar '18,3.51%,1.43%
22,Feb '18,1.86%,0.91%
23,Jan '18,3.46%,1.33%
24,Dec '17,2.75%,1.32%
25,Nov '17,3.82%,1.62%
26,Oct '17,3.33%,1.15%
27,Sep '17,3.4%,1.38%
28,Aug '17,1.98%,0.74%
29,Jul '17,3.25%,1.36%
30,Jun '17,2.55%,1.22%
31,May '17,3.02%,1.38%
32,Apr '17,2.71%,1.14%
33,Mar '17,4.01%,1.7%
34,Feb '17,2.14%,1.05%
35,Jan '17,3.11%,1.54%
36,Dec '16,2.79%,1.42%
37,Nov '16,2.87%,1.58%
38,Oct '16,3.13%,1.65%
39,Sep '16,3.11%,1.37%
40,Aug '16,1.93%,0.88%
41,Jul '16,2.73%,1.48%
