,Year,Gross domestic product in billion U.S. dollars
0,2025*,2.04€
1,2024*,1.93€
2,2023*,1.82€
3,2022*,1.65€
4,2021*,1.47€
5,2020*,1.39€
6,2019,1.66€
7,2018,1.61€
8,2017,1.47€
9,2016,1.44€
10,2015,1.34€
11,2014,1.25€
12,2013,1.18€
13,2012,1.2€
14,2011,1.14€
15,2010,1.15€
16,2009,1.22€
17,2008,1.37€
18,2007,1.31€
19,2006,1.16€
20,2005,1.02€
21,2004,0.92€
22,2003,0.86€
23,2002,0.82€
24,2001,0.8€
25,2000,0.83€
26,1999,0.77€
27,1998,0.73€
28,1997,0.68€
29,1996,0.63€
30,1995,0.58€
31,1994,0.59€
32,1993,0.54€
33,1992,0.5€
34,1991,0.48€
35,1990,0.46€
36,1989,0.44€
37,1988,0.4€
38,1987,0.34€
39,1986,0.29€
40,1985,0.24€
