,Year,Export volume in billion U.S. dollars
0,2019,292.69
1,2018,299.77
2,2017,282.47
3,2016,266.73
4,2015,280.86
5,2014,312.82
6,2013,300.75
7,2012,292.65
8,2011,281.29
9,2010,249.26
10,2009,204.66
11,2008,261.15
12,2007,248.89
13,2006,230.66
14,2005,211.9
15,2004,189.88
16,2003,169.92
17,2002,160.92
18,2001,163.42
19,2000,178.94
20,1999,166.6
21,1998,156.6
22,1997,151.77
23,1996,134.21
24,1995,127.23
25,1994,114.44
26,1993,100.44
27,1992,90.59
28,1991,85.15
29,1990,83.67
30,1989,78.81
31,1988,71.62
32,1987,59.81
33,1986,45.33
34,1985,47.25
