,Month,"Total current, active medical marijuana patients"
0,Aug 2020,84197
1,Jul 2020,83306
2,Jun 2020,83184
3,May 2020,81953
4,Apr 2020,80257
5,Mar 2020,81722
6,Feb 2020,81893
7,Jan 2020,81871
8,Dec 2019,81610
9,Nov 2019,83587
10,Oct 2019,81899
11,Sep 2019,83308
12,Aug 2019,81035
13,Jul 2019,87063
14,Jun 2019,83984
15,May 2019,83879
16,Apr 2019,89492
17,Mar 2019,86443
18,Feb 2019,86832
19,Jan 2019,86874
20,Dec 2018,86641
21,Nov 2018,85207
22,Oct 2018,89220
23,Sep 2018,87012
24,Aug 2018,86596
25,Jul 2018,88143
26,Jun 2018,86755
27,May 2018,87168
28,Apr 2018,88946
29,Mar 2018,87493
30,Feb 2018,93314
31,Jan 2018,93095
32,Dec 2017,93372
33,Nov 2017,85396
34,Oct 2017,91745
35,Sep 2017,92840
36,Aug 2017,92655
37,Jul 2017,91658
38,Jun 2017,83857
39,May 2017,86964
40,Apr 2017,88548
41,Mar 2017,89410
42,Feb 2017,78369
43,Jan 2017,86840
