,Response,Share of respondents
0,Sexual harassment,40%
1,Sexual violence,37%
2,Physical violence,32%
3,Domestic abuse,19%
4,Equal pay,19%
5,Workplace discrimination,18%
6,Gender stereotyping,16%
7,Sexualization of women and girls in the media,15%
8,Access to employment,9%
9,Balancing work and caring responsibilities,8%
10,Lack of women in leadership roles in business and public life,7%
11,Abuse on social media,7%
12,Support for pregnant women and new mothers,6%
13,"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",6%
14,Lack of financial/economic independence,5%
