,Year,GDP per capita in U.S. dollars
0,2025*,3253.7
1,2024*,3073.89
2,2023*,2911.11
3,2022*,2756.12
4,2021*,2614.12
5,2020*,2567.01
6,2019*,2660.75
7,2018,2567.89
8,2017,2452.97
9,2016,2323.36
10,2015,2130.63
11,2014,1997.99
12,2013,1899.98
13,2012,1640.94
14,2011,1463.47
15,2010,1242.96
16,2009,1080.47
17,2008,1013.82
18,2007,822.36
19,2006,686.65
20,2005,542.38
21,2004,479.63
22,2003,416.07
23,2002,345.39
24,2001,334.64
25,2000,333.16
26,1999,278.72
27,1998,267.28
28,1997,716.32
29,1996,775.94
30,1995,763.13
31,1994,673.42
32,1993,595.31
33,1992,543.56
34,1991,487.96
35,1990,426.32
36,1989,370.82
37,1988,308.82
38,1987,487.68
39,1986,712.07
40,1985,1047.04
