,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,90.86
1,"Finance, insurance, real estate, rental, and leasing",89.44
2,Professional and business services,64.09
3,Government and government enterprises,63.7
4,"Educational services, health care, and social assistance",41.07
5,Wholesale trade,30.4
6,Retail trade,27.94
7,Information,21.69
8,"Arts, entertainment, recreation, accommodation, and food services",17.63
9,Construction,16.67
10,Transportation and warehousing,11.4
11,Utilities,7.77
12,"Agriculture, forestry, fishing, and hunting",5.51
13,"Mining, quarrying, and oil and gas extraction",0.61
