,Weekly approval (week ending..),Share of respondents who approved
0,"February 16, 2020",49%
1,"January 15, 2020",44%
2,"December 15, 2019",45%
3,"November 14, 2019",43%
4,"October 13, 2019",39%
5,"September 15, 2019",43%
6,"August 14, 2019",41%
7,"July 12, 2019",44%
8,"June 16, 2019",43%
9,"May 12, 2019",42%
10,"April 9, 2019",45%
11,"March 10, 2019",39%
12,"February 10, 2019",44%
13,"January 27, 2019",37%
14,"December 22, 2018",39%
15,"November 25, 2018",38%
16,"October 28, 2018",40%
17,"September 30, 2018",42%
18,"August 26, 2018",41%
19,"July 29, 2018",40%
20,"June 24, 2018",41%
21,"May 27, 2018",40%
22,"April 29, 2018",42%
23,"March 25, 2018",39%
24,"February 25, 2018",39%
25,"December 31, 2017",39%
26,"November 26, 2017",37%
27,"October 29, 2017",35%
28,"September 24, 2017",38%
29,"August 27, 2017",37%
30,"July 30, 2017",38%
31,"June 25, 2017",39%
32,"May 28, 2017",41%
33,"April 30, 2017",41%
34,"March 26, 2017",39%
35,"February 26, 2017",42%
36,"January 29, 2017",45%
