,Country,Average cost per square meter in euros
0,London**,16024
1,Geneva,12670
2,Zurich,12030
3,Paris,10175
4,Luxembourg,10000
5,Munich,8442
6,Bern,6990
7,Stockholm,6892
8,Oslo,6722
9,Amsterdam,6550
10,Frankfurt,6264
11,Innsbruck,5992
12,Copenhagen,5456
13,Vienna,5359
14,Hamburg,5241
15,Dublin,5200
16,Utrecht,5100
17,Helsinki (Metropolitan area),4980
18,Berlin,4836
19,Stuttgart,4773
20,Gothenburg,4601
21,Lyon,4589
22,Rotterdam,4550
23,Bordeaux,4505
24,Aarhus,4384
25,Dusseldorf,4263
26,Cologne,4185
27,Barcelona,4115
28,Eindhoven,4100
29,The Hague,4100
30,Brussels,4000
31,Cork,3860
32,Madrid,3750
33,Antwerp,3750
34,Graz,3438
35,Tampere,3430
36,Nantes,3289
37,Turku,3230
38,Toulouse,3165
39,Manchester**,3110
40,Prague,3000
41,Montpellier,2951
42,Birmingham**,2935
43,Leeds**,2872
44,Jyväskylä,2850
45,Malmo,2831
46,Oulu,2680
47,Marseille,2597
48,Liège,2250
49,Wroclaw**,2230
50,Warsaw**,2230
51,Brno,2200
52,Seville,2075
53,Lahti,2070
54,Malaga,2035
55,Tallinn,2000
56,Krakow**,1823
57,Vilnius,1700
58,Riga,1600
