,Theme / Amusement Park Name,Attendance in millions
0,"Magic Kingdom (Walt Disney World), USA",20.86
1,"Disneyland Anaheim, USA",18.66
2,"Tokyo Disneyland, Japan",17.91
3,"Tokyo Disney Sea, Japan",14.65
4,"Universal Studios, Japan",14.3
5,"Disney's Animal Kingdom, USA",13.75
6,"Epcot (Walt Disney World), USA",12.44
7,"Shanghai Disneyland, China",11.8
8,"Disney's Hollywood Studios, USA",11.26
9,"Chimelong Ocean Kingdom, China",10.83
10,"Universal Studios Orlando, USA",10.71
11,"Disney's California Adventure, USA",9.86
12,"Disneyland Park, France",9.84
13,"Islands of Adventure, USA",9.79
14,"Universal Studios Hollywood, USA",9.15
15,"Hong Kong Disneyland, Hong Kong S.A.R.",6.7
16,"Lotte World, South Korea",5.96
17,"Nagashima Spa Land, Japan",5.92
18,"Everland, South Korea",5.85
19,"Ocean Park, Hong Kong S.A.R.",5.8
20,"Europa Park, Germany",5.72
21,"De Efteling, the Netherlands",5.4
22,"Walt Disney Studios Park, France",5.3
23,"Tivoli Gardens Copenhagen, Denmark",4.85
24,"Chimelong Paradise, China",4.68
