,municipiu of Romania,Number of employees
0,Constanța,1380
1,Dolj,1042
2,Neamț,959
3,Suceava,897
4,Sibiu,870
5,Iași,737
6,Bucuresti,736
7,Prahova,550
8,Botosani,517
9,Timiș,478
10,Bihor,455
11,Galați,409
12,Brașov,392
13,Arad,311
14,Cluj,310
15,Olt,274
16,Vrancea,270
17,Bistrița-Năsăud,215
18,Harghita,193
19,Buzau,183
20,Hunedoara,180
21,Bacău,171
22,Vaslui,170
23,Caraș-Severin,170
24,Mureș,141
25,Ialomița,114
26,Argeș,96
27,Salaj,91
28,Covasna,82
29,Gorj,80
30,Mehedinți,77
31,Alba,74
32,Ilfov,56
33,Valcea,53
34,Giurgiu,52
35,Maramures,47
36,Dambovița,40
37,Satu-Mare,40
38,Calarasi,39
39,Braila,38
40,Tulcea,24
41,Teleorman,18
