,University (ranking),Years to payback debt
0,"Chicago (Booth) - Chicago, IL (1)",3.9
1,"Stanford - Palo Alto, CA (2)",4.2
2,"Northwestern (Kellogg) - Evanston, IL (3)",3.9
3,"Harvard - Boston, MA (4)",4.1
4,"Pennsylvania (Wharton) - Philadelphia, PA (5)",4.1
5,"Dartmouth (Tuck) - Hanover, NH (6)",4.0
6,"Columbia - New York, NY (7)",4.1
7,"MIT (Sloan) - Cambridge, MA (7)",4.1
8,"Cornell (Johnson) - Ithaca, NY (9)",4.0
9,"Michigan (Ross) - Ann Arbor, MI (10)",3.9
10,"UC Berkeley (Haas) - Berkeley, CA (11)",4.1
11,"Yale - New Haven, CT (11)",3.9
12,"Virginia (Darden) - Charlottesville, VA (13)",4.0
13,"Duke (Fuqua) - Durham, NC (14)",4.0
14,"UNC (Kenan-Flagler) - Chapel Hill, NC (15)",3.8
15,"UCLA (Anderson) - Los Angeles, CA (16)",4.0
16,"Carnegie Mellon (Tepper) - Pittsburgh, PA (17)",3.9
17,"Texas-Austin (McCombs) - Austin, TX (18)",4.1
18,"Indiana (Kelley) - Bloomington, IN (19)",3.7
19,"NYU (Stern) - New York, NY (20)",4.1
