,Year,Inflation rate compared to previous year
0,2025*,2.46%
1,2024*,2.46%
2,2023*,2.46%
3,2022*,2.46%
4,2021*,2.47%
5,2020*,2.95%
6,2019*,2.69%
7,2018,1.61%
8,2017,4.18%
9,2016,4.95%
10,2015,1.4%
11,2014,14.9%
12,2013,6.99%
13,2012,5.48%
14,2011,1.19%
15,2010,1.49%
16,2009,3.52%
17,2008,9.26%
18,2007,0.94%
19,2006,6.69%
20,2005,2.89%
21,2004,-2.24%
22,2003,4.35%
23,2002,2.3%
24,2001,3.84%
25,2000,3.2%
26,1999,-1.42%
27,1998,-1.87%
28,1997,1.6%
29,1996,3.72%
30,1995,19.2%
31,1994,24.55%
32,1993,-2.91%
33,1992,-0.76%
34,1991,-2.85%
35,1990,-0.2%
36,1989,0.65%
37,1988,-3.93%
38,1987,-6.99%
39,1986,2.41%
40,1985,10.46%
