,federative unit of Brazil,Number of respondents
0,São Paulo,10762
1,Rio de Janeiro,3091
2,Rio Grande do Sul,3068
3,Minas Gerais,2580
4,Paraná,2352
5,Santa Catarina,2080
6,Distrito Federal,1513
7,Bahia,756
8,Pernambuco,637
9,Goiás,546
10,Ceará,523
11,Espírito Santo,383
12,Rio Grande do Norte,306
13,Mato Grosso do Sul,304
14,Paraíba,300
15,Pará,217
16,Mato Grosso,183
17,Alagoas,143
18,Sergipe,134
19,Amazonas,129
20,Piauí,108
21,Maranhão,97
22,Rondônia,69
23,Tocantins,55
24,Acre,25
25,Amapá,20
26,Roraima,19
