,television series,Number of nominations
0,Chernobyl,4
1,The Crown,4
2,Unbelievable,4
3,Barry,3
4,Big Little Lies,3
5,Fleabag,3
6,Fosse/Verdon,3
7,The Kominsky Method,3
8,The Morning Show,3
9,Succession,3
10,The Act,2
11,Catch-22,2
12,Killing Eve,2
13,The Loudest Voice,2
14,The Marvelous Mrs. Maisel,2
15,The Politician,2
16,Catherine the Great,1
17,Dead to Me,1
18,Game of Thrones,1
19,Living with Yourself,1
20,Mr. Robot,1
21,On Becoming a God in Central Florida,1
22,Pose,1
23,Ramy,1
24,Russian Doll,1
25,The Spy,1
