,Year,Gross domestic product in billion U.S. dollars
0,2024*,330.94
1,2023*,317.53
2,2022*,305.24
3,2021*,292.81
4,2020*,280.71
5,2019*,269.65
6,2018,274.21
7,2017,252.87
8,2016,239.11
9,2015,232.97
10,2014,273.04
11,2013,270.07
12,2012,256.85
13,2011,273.93
14,2010,248.26
15,2009,252.14
16,2008,285.09
17,2007,255.74
18,2006,216.73
19,2005,204.77
20,2004,196.98
21,2003,171.37
22,2002,139.98
23,2001,129.34
24,2000,125.88
25,1999,135.4
26,1998,134.11
27,1997,127.0
28,1996,132.15
29,1995,134.35
30,1994,103.76
31,1993,89.32
32,1992,113.23
33,1991,128.29
34,1990,141.8
35,1989,119.11
36,1988,109.26
37,1987,91.78
38,1986,73.65
39,1985,56.22
40,1984,53.03
