,State,Number of registered automobiles
0,California,14860967
1,Texas,8176879
2,Florida,7778493
3,Illinois,4655844
4,Ohio,4605459
5,New York,4563035
6,Pennsylvania,4463267
7,Georgia,3536055
8,North Carolina,3317918
9,Michigan,3257473
10,Virginia,3251339
11,Washington,2925765
12,New Jersey,2798699
13,Arizona,2391624
14,Tennessee,2325004
15,Indiana***,2261440
16,Massachusetts**,2208468
17,Minnesota,2146187
18,Missouri,2141050
19,Wisconsin,2092584
20,Alabama,2065463
21,Maryland,2006904
22,South Carolina,1808401
23,Colorado,1785058
24,Kentucky,1691085
25,Oregon,1542461
26,Louisiana,1389436
27,Oklahoma,1337624
28,Connecticut,1302339
29,Iowa,1268996
30,Nevada,1047508
31,Kansas,987259
32,Arkansas,926789
33,Utah,925052
34,Mississippi,822864
35,Nebraska,677040
36,New Mexico,609494
37,West Virginia,562984
38,Idaho,550006
39,Hawaii,512386
40,New Hampshire,505381
41,Montana,441392
42,Rhode Island,420313
43,Delaware,419199
44,Maine,387233
45,South Dakota,353180
46,North Dakota,276545
47,Vermont,221936
48,Dist. of Col.,208141
49,Wyoming,193523
50,Alaska**,173487
