,leading soup brand,Percentage change in sales value
0,Heinz Classic,-11.4
1,New Covent Garden,8.7
2,Batchelors Cup a Soup,-3.9
3,Heinz Big Soup,-8.8
4,Baxters favourites,-2.1
5,Glorious!,2.2
6,Mug Shot Pasta snack,28.2
7,Mug Shot Noodle Snack,15.8
8,WeightWatchers,-17.3
9,Baxters Vegetarian,-6.2
10,Yorkshire Soup,29.3
11,Ainsley Harriott Cup Soup,-25.4
12,Campbell's,-15.8
13,Heinz Farmers' Market,-17.7
14,Knorr,-17.1
15,Heinz Black Label,1308.6
16,Baxters Luxury,-7.2
17,Baxters Healthy,-14.0
18,Crosse & Blackwell,-54.8
19,Heinz Squeeze & Stir,-42.1
