,football team,Value in million U.S. dollars
0,Texas Longhorns (Big 12),152
1,Notre Dame Fighting Irish (Independent),127
2,Tennessee Volunteers (SEC),121
3,LSU Tigers (SEC),111
4,Michigan Wolverines (Big Ten),105
5,Georgia Bulldogs (SEC),102
6,Ohio State Buckeyes (Big Ten),100
7,Alabama Crimson Tide (SEC),99
8,Oklahoma Sooners (Big 12),96
9,Auburn Tigers (SEC),89
10,Penn State Nittany Lions (Big Ten),81
11,Arkansas Razorbacks (SEC),80
12,Washington Huskies (Pac-12),78
13,Oregon Ducks (Pac-12),75
14,Florida Gators (SEC),72
15,Texas A&M Aggies (SEC),71
16,Florida State Seminoles,70
17,South Carolina Gamecoks (SEC),69
18,Michigan State Spartans (Big Ten),67
19,USC Trojans (Pac-12),66
