,department of France,Number of people
0,Bouches-du-Rhône,222
1,Rhône,201
2,Paris,201
3,Nord,176
4,Hauts-de-Seine,119
5,Isère,112
6,Seine-Saint-Denis,91
7,Pas-de-Calais,87
8,Essonne,83
9,Loire,83
10,Val-de-Marne,78
11,Gironde,75
12,Seine-et-Marne,72
13,Haute-Garonne,69
14,Hérault,62
15,Bas-Rhin,61
16,Yvelines,60
17,Doubs,57
18,Côte-d'Or,56
19,Seine-Maritime,56
20,Haute-Savoie,55
21,Alpes-Maritimes,54
22,Moselle,53
23,Var,50
24,Val-d'Oise,49
25,Loiret,49
26,Meurthe-et-Moselle,44
27,Gard,44
28,Saône-et-Loire,44
29,Drôme,39
30,Haut-Rhin,37
31,Maine-et-Loire,35
32,Somme,35
33,Ille-et-Vilaine,34
34,Marne,34
35,Indre-et-Loire,31
36,Oise,30
37,Loire-Atlantique,28
38,Savoie,28
39,Vaucluse,27
40,Puy-de-Dôme,26
41,Ain,24
42,Territoire de Belfort,23
43,Aisne,22
44,Tarn,22
45,Allier,20
46,Aube,20
47,Calvados,19
48,Eure-et-Loir,19
49,Pyrénées-Orientales,18
50,Pyrénées-Atlantiques,18
51,Yonne,18
52,Ardèche,18
53,Finistère,16
54,Morbihan,15
55,Hautes-Alpes,14
56,Haute-Saône,14
57,Lot-et-Garonne,14
58,Ardennes,13
59,Cantal,13
60,Charente-Maritime,13
61,Orne,12
62,Sarthe,12
63,Vienne,12
64,Hautes-Pyrénées,11
65,Meuse,11
66,Manche,11
67,Vendée,11
68,Réunion,11
69,Haute-Loire,10
70,Vosges,10
71,Deux-Sèvres,10
72,Tarn-et-Garonne,10
73,Guadeloupe,9
74,Jura,9
75,Cher,9
76,Haute-Vienne,9
77,Mayenne,8
78,Landes,8
79,Martinique,8
80,Dordogne,7
81,Aude,7
82,Côtes-d'Armor,7
83,Alpes-de-Haute-Provence,7
84,Indre,6
85,Eure,6
86,Gers,5
87,Aveyron,5
88,Nièvre,5
89,Corse-du-Sud,5
90,Lozère,4
91,Creuse,3
92,Mayotte,3
93,Lot,3
94,Loir-et-Cher,3
95,Haute-Marne,3
96,Ariège,2
97,Corrèze,2
98,Charente,2
99,Guyane,1
100,Haute-Corse,1
