,Response,Percentage of clinicians
0,Anxiety,23.5%
1,Depression,18.9%
2,Relationship problem (specific),7.3%
3,Stress,5.9%
4,Family,4.1%
5,Trauma,3.6%
6,Grief/loss,3.2%
7,Interpersonal functioning,3.1%
8,Adjustment to new environment,3%
9,Academic performance,2.9%
10,Self-esteem/confidence,2.1%
11,Sexual abuse/assault (victim),1.9%
12,Eating/body image,1.8%
13,Other,1.7%
14,Emotional dysregulation,1.6%
15,Suicidality,1.6%
16,Mood instability (bi-polar symptoms),1.3%
17,Identity development,1.2%
18,Attention/concentration difficulties,1%
19,Alcohol,0.9%
20,Perfectionism,0.8%
21,Obessions or compulsions,0.8%
22,Anger management,0.8%
23,Social isolation,0.7%
24,Career,0.7%
25,Health/medical,0.6%
26,Drugs,0.6%
27,Legal/judicial/conduct,0.5%
28,Harrassment/emotional abuse (victim),0.5%
29,Self-injurious thoughts or behaviors,0.4%
30,Sleep,0.4%
31,Gender identity,0.4%
32,Sexual concern,0.3%
33,Sexual orientation,0.3%
34,Physical abuse/assult (victim),0.2%
35,Financial,0.2%
36,Psychotic thoughts or behaviors,0.2%
37,Autism spectrum,0.2%
38,None,0.1%
39,Religion/spirituality,0.1%
40,"Racial, ethnic, or cultural concerns",0.1%
41,Addiction (not drugs or alcohol),0.1%
42,Violent thoughts or behaviors towards others,0.1%
43,Pregnancy related,0.1%
44,Dissociative experiences,0.1%
45,Learning disorder/disability,0%
46,Stalking (victim),0%
47,Discrimination,0%
