,Month,Number of fatalities
0,"May 22, 2017  (Manchester, UK)",22
1,"Aug 17, 2017  (Barcelona, Catalonia, Spain)",13
2,"Jun 3, 2017  (London, UK)",8
3,"Apr 7, 2017  (Stockholm, Sweden)",5
4,"Mar 22, 2017  (London, UK)",5
5,"Jun 30, 2017  (Linz, Austria)",2
6,"Jul 28, 2017  (Hamburg, Germany)",1
7,"Mar 14, 2017  (Carrickfergus, Northern Ireland, UK)",1
8,"May 28, 2017 (Bangor, Northern Ireland, UK)",1
9,"Jun 19, 2017  (London, UK)",1
10,"Apr 20, 2017  (Paris, France)",1
11,"Aug 17, 2017  (Alcanar, Catalonia, Spain)",1
