,the 30 cheapest holiday destinations,Average price in GBP
0,Kiev,64.79
1,Antalya,69.87
2,Manila,70.2
3,Denpasar,74.71
4,Siem Reap,78.96
5,Cairo,79.17
6,Bucharest,83.76
7,Jakarta,85.11
8,Kuala Lumpur,87.38
9,Sofia,87.49
10,Ho Chi Minh City,89.56
11,Lima,91.23
12,Quito,91.93
13,Mumbai,96.1
14,Phuket,97.53
15,Kampala,98.58
16,Bangkok,100.36
17,Istanbul,104.27
18,Mexico City,105.87
19,Johannesburg,107.13
20,Moscow,107.36
21,Dakar,107.44
22,Krakòw,108.18
23,Tunis,111.73
24,Marmaris,111.83
25,Buenos Aires,114.19
26,Riga,116.52
27,Lagos,119.35
28,Accra,120.45
29,Nairobi,120.78
