,Month,Capacity by dedicated prayer space
0,Al -Jamia Suffa-Tul-Islam Grand Mosque (Bradford),8000
1,Central Jamia Mosque Ghamkol Sharif (Birmingham),6000
2,Birmingham Central Mosque (Birmingham),6000
3,Islamic Cultural Centre (London),5400
4,Jamiyat Tabligh-ul-Islam (Bradford),5200
5,East London Mosque & London Muslim Centre (London),5000
6,Leeds Islamic Centre (Leeds),4700
7,Jamia al-Akbaria (Luton),4700
8,Masjid-e-Jamia Al Madina (Middlesbrough),4500
9,Jamia Masjid Ghousia (Luton),4500
10,Markazi Masjid  (Dewsbury),4000
11,Madni Jamia Masjid  (Bradford),4000
12,Jamia Masjid Ghosia  (London),4000
13,Islamic Da'wah Academy  (Leicester),4000
14,Husseini Islamic Centre  (London),4000
15,Jamiyat Tabligh-ul-Islam Mosque (Bradford),3800
16,Wolverhampton Mosque Trust (Wolverhampton),3600
17,Makki Masjid (Blackburn),3500
18,Green Lane Masjid & Community Centre (Birmingham),3500
19,Al-Madina Mosque (London),3400
