,Year,Male,Female
0,2028-29*,855.0,1153.0
1,2027-28*,855.0,1153.0
2,2026-27*,853.0,1152.0
3,2025-26*,850.0,1147.0
4,2024-25*,847.0,1143.0
5,2023-24*,844.0,1140.0
6,2022-23*,843.0,1137.0
7,2021-22*,842.0,1136.0
8,2020-21*,842.0,1134.0
9,2019-20*,842.0,1133.0
10,2018-19*,839.0,1129.0
11,2017-18*,837.0,1126.0
12,2016-17,836.05,1119.99
13,2015-16,821.75,1099.0
14,2014-15,812.69,1082.28
15,2013-14,801.91,1068.25
16,2012-13,787.41,1052.97
17,2011-12,765.77,1026.39
18,2010-11,734.16,981.89
19,2009-10,706.66,943.26
20,2008-09,685.42,915.98
21,2007-08,668.18,895.55
22,2006-07,649.82,874.91
23,2005-06,630.5,854.6
24,2004-05,613.0,826.26
25,2003-04,595.43,804.12
26,2002-03,573.26,775.55
27,2001-02,549.82,742.08
28,2000-01,531.84,712.33
29,1999-00,530.37,707.51
30,1998-99,519.96,682.28
31,1997-98,519.96,664.45
32,1996-97,520.52,652.36
33,1995-96,522.45,642.34
34,1994-95,526.13,634.0
35,1993-94,532.42,636.85
36,1992-93,532.88,632.3
37,1991-92,520.81,615.74
38,1990-91,504.05,590.49
39,1989-90,491.7,559.65
40,1988-89,483.35,535.41
41,1987-88,477.2,517.63
42,1986-87,480.78,510.48
43,1985-86,485.92,501.9
44,1984-85,482.53,496.95
45,1983-84,482.32,491.99
46,1982-83,479.14,490.37
47,1981-82,473.36,479.63
48,1980-81,469.88,465.26
49,1979-80,473.61,455.81
50,1978-79,477.34,444.05
51,1977-78,487.35,433.86
52,1976-77,495.55,424.0
53,1975-76,504.93,420.82
54,1974-75,504.84,418.09
55,1973-74,527.31,418.46
56,1972-73,518.19,404.17
57,1971-72,500.59,386.68
58,1970-71,475.59,364.14
59,1969-70,451.1,341.22
60,1959-60,254.06,138.38
61,1949-50,328.84,103.22
