,Month,Sales in billion U.S. dollars
0,Sep '20,8.09
1,Aug' 20,7.92
2,Jul '20,7.71
3,Jun '20,7.63
4,May '20,7.43
5,Apr '20,7.28
6,Mar '20,7.37
7,Feb '20,7.29
8,Jan '20,7.37
9,Dec '19,7.49
10,Nov '19,7.48
11,Oct '19,7.29
12,Sep '19,6.73
13,Aug '19,6.4
14,Jul '19,6.09
15,Jun '19,5.89
16,May '19,5.92
17,Apr '19,5.86
18,Mar '19,6.05
19,Feb '19,6.36
20,Jan '19,7.31
21,Dec '18,8.4
22,Nov '18,9.58
23,Oct '18,9.85
24,Sep '18,9.5
25,Aug '18,8.83
26,Jul '18,8.39
27,Jun '18,8.34
28,May '18,8.24
29,Apr '18,8.16
30,Mar '18,8.09
31,Feb '18,8.25
32,Jan '18,8.63
33,Dec '17,8.95
34,Nov '17,8.77
35,Oct '17,8.54
36,Sep '17,8.0
37,Aug '17,7.55
38,Jul '17,6.94
39,Jun '17,6.59
40,May '17,6.25
41,Apr '17,6.09
42,Mar '17,5.96
43,Feb '17,5.99
44,Jan '17,6.13
45,Dec '16,6.33
46,Nov '16,6.25
47,Oct '16,6.06
48,Sep '16,5.68
49,Aug '16,5.43
50,Jul '16,5.1
51,Jun '16,4.94
52,May '16,4.79
53,Apr '16,4.78
54,Mar '16,4.89
55,Feb '16,5.03
56,Jan '16,5.41
57,Dec '15,5.75
58,Nov '15,6.07
59,Oct '15,6.05
60,Sep '15,5.82
61,Aug '15,5.58
62,Jul '15,5.51
63,Jun '15,5.53
64,May '!5,5.62
65,Apr '15,5.61
66,Mar '15,5.81
67,Feb '15,6.23
68,Jan '15,6.51
69,Dec '14,6.73
70,Nov '14,6.53
71,Oct '14,6.41
72,Sep '14,6.06
73,Aug '14,5.6
74,Jul '14,5.43
75,Jun '14,5.27
76,May '14,5.09
77,Apr '14,5.0
78,Mar '14,5.08
79,Feb '14,5.32
80,Jan '14,5.59
81,Dec '13,5.8
82,Nov '13,5.87
83,Oct '13,5.71
84,Sep '13,5.55
85,Aug '13,5.15
86,Jul '13,5.02
87,Jun '13,4.76
88,May '13,4.6
89,Apr '13,4.36
90,Mar '13,4.38
91,Feb '13,4.47
92,Jan '13,4.78
93,Dec '12,4.94
94,Nov '12,5.02
95,Oct '12,4.79
96,Sept '12,4.43
97,Aug '12,4.19
98,Jul '12,4.14
99,Jun '12,4.32
100,May '12,4.48
101,Apr '12,4.56
102,Mar '12,4.46
103,Febr '12,4.36
104,Jan '12,4.31
