,Month,Number of cases
0,"Dec 17, 2020",123813
1,"Dec 16, 2020",119779
2,"Dec 15, 2020",116087
3,"Dec 14, 2020",113095
4,"Dec 13, 2020",109758
5,"Dec 12, 2020",107116
6,"Dec 11, 2020",103564
7,"Dec 10, 2020",100489
8,"Dec 9, 2020",97357
9,"Dec 8, 2020",94799
10,"Dec 7, 2020",92649
11,"Dec 6, 2020",90603
12,"Dec 5, 2020",88858
13,"Dec 4, 2020",86743
14,"Dec 3, 2020",85140
15,"Dec 2, 2020",83535
16,"Dec 1, 2020",81949
17,"Nov 30, 2020",80481
18,"Nov 29, 2020",79352
19,"Nov 28, 2020",78354
20,"Nov 27, 2020",76718
21,"Nov 26, 2020",75395
22,"Nov 25, 2020",74204
23,"Nov 24, 2020",73021
24,"Nov 23, 2020",71654
25,"Nov 22, 2020",70485
26,"Nov 21, 2020",69635
27,"Nov 20, 2020",68362
28,"Nov 19, 2020",67105
29,"Nov 18, 2020",65808
30,"Nov 17, 2020",64551
31,"Nov 16, 2020",63331
32,"Nov 15, 2020",62136
33,"Nov 14, 2020",61078
34,"Nov 13, 2020",60000
35,"Nov 12, 2020",58963
36,"Nov 11, 2020",57952
37,"Nov 10, 2020",56958
38,"Nov 9, 2020",55892
39,"Nov 8, 2020",55121
40,"Nov 7, 2020",54230
41,"Nov 6, 2020",53180
42,"Nov 5, 2020",51753
43,"Nov 4, 2020",50530
44,"Nov 3, 2020",49594
45,"Nov 2, 2020",48241
46,"Nov 1, 2020",47299
47,"Oct 31, 2020",46351
48,"Oct 30, 2020",45225
49,"Oct 29, 2020",44034
50,"Oct 28, 2020",43174
51,"Oct 27, 2020",42157
52,"Oct 26, 2020",41412
53,"Oct 25, 2020",41135
54,"Oct 24, 2020",41092
55,"Oct 23, 2020",40275
56,"Oct 22, 2020",39415
57,"Oct 21, 2020",38536
58,"Oct 20, 2020",37674
59,"Oct 19, 2020",36884
60,"Oct 18, 2020",36182
61,"Oct 17, 2020",35723
62,"Oct 16, 2020",35290
63,"Oct 15, 2020",34812
64,"Oct 14, 2020",34357
65,"Oct 13, 2020",33877
66,"Oct 12, 2020",33443
67,"Oct 11, 2020",32981
68,"Oct 10, 2020",32726
69,"Oct 9, 2020",32440
70,"Oct 8, 2020",32027
71,"Oct 7, 2020",31607
72,"Oct 6, 2020",31155
73,"Oct 5, 2020",30724
74,"Oct 4, 2020",30291
75,"Oct 3, 2020",29978
76,"Oct 2, 2020",29639
77,"Oct 1, 2020",29271
78,"Sep 30, 2020",28838
79,"Sep 29, 2020",28400
80,"Sep 28, 2020",27949
81,"Sep 27, 2020",27465
82,"Sep 26, 2020",27108
83,"Sep 25, 2020",26714
84,"Sep 24, 2020",26226
85,"Sep 23, 2020",25619
86,"Sep 22, 2020",24967
87,"Sep 21, 2020",24376
88,"Sep 20, 2020",23840
89,"Sep 19, 2020",23429
90,"Sep 18, 2020",23008
91,"Sep 17, 2020",22531
92,"Sep 16, 2020",22015
93,"Sep 15, 2020",21456
94,"Sep 14, 2020",21017
95,"Sep 13, 2020",20635
96,"Sep 12, 2020",20339
97,"Sep 11, 2020",20037
98,"Sep 10, 2020",19689
99,"Sep 9, 2020",19318
100,"Sep 8, 2020",19025
101,"Sep 7, 2020",18696
102,"Sep 6, 2020",18399
103,"Sep 5, 2020",18175
104,"Sep 4, 2020",17977
105,"Sep 3, 2020",17772
106,"Sep 2, 2020",17578
107,"Sep 1, 2020",17419
108,"Aug 31, 2020",17218
109,"Aug 30, 2020",17097
110,"Aug 29, 2020",16993
111,"Aug 28, 2020",16904
112,"Aug 27, 2020",16795
113,"Aug 26, 2020",16724
114,"Aug 25, 2020",16644
115,"Aug 24, 2020",16563
116,"Aug 23, 2020",16488
117,"Aug 22, 2020",16413
118,"Aug 21, 2020",16324
119,"Aug 20, 2020",16237
120,"Aug 19, 2020",16150
121,"Aug 18, 2020",16063
122,"Aug 17, 2020",15949
123,"Aug 16, 2020",15853
124,"Aug 15, 2020",15763
125,"Aug 14, 2020",15636
126,"Aug 13, 2020",15524
127,"Aug 12, 2020",15408
128,"Aug 11, 2020",15247
129,"Aug 10, 2020",15111
130,"Aug 9, 2020",14956
131,"Aug 8, 2020",14826
132,"Aug 7, 2020",14736
133,"Aug 6, 2020",14593
134,"Aug 5, 2020",14419
135,"Aug 4, 2020",14301
136,"Aug 3, 2020",14179
137,"Aug 2, 2020",14062
138,"Aug 1, 2020",13984
139,"Jul 31, 2020",13920
140,"Jul 30, 2020",13862
141,"Jul 29, 2020",13778
142,"Jul 28, 2020",13713
143,"Jul 27, 2020",13635
144,"Jul 26, 2020",13571
145,"Jul 25, 2020",13547
146,"Jul 24, 2020",13520
147,"Jul 23, 2020",13483
148,"Jul 22, 2020",13429
149,"Jul 21, 2020",13394
150,"Jul 20, 2020",13357
151,"Jul 19, 2020",13325
152,"Jul 18, 2020",13297
153,"Jul 17, 2020",13254
154,"Jul 16, 2020",13222
155,"Jul 15, 2020",13170
156,"Jul 14, 2020",13128
157,"Jul 13, 2020",13094
158,"Jul 12, 2020",13061
159,"Jul 11, 2020",13039
160,"Jul 10, 2020",13015
161,"Jul 09, 2020",12981
162,"Jul 08, 2020",12940
163,"Jul 07, 2020",12914
164,"Jul 06, 2020",12901
165,"Jul 05, 2020",12892
166,"Jul 04, 2020",12881
167,"Jul 03, 2020",12868
168,"Jul 02, 2020",12849
169,"Jul 01, 2020",12834
170,"Jun 30, 2020",12822
171,"Jun 29, 2020",12798
172,"Jun 28, 2020",12768
173,"Jun 27, 2020",12757
174,"Jun 26, 2020",12738
175,"Jun 25, 2020",12715
176,"Jun 24, 2020",12683
177,"Jun 23, 2020",12638
178,"Jun 22, 2020",12619
179,"Jun 21, 2020",12573
180,"Jun 20, 2020",12540
181,"Jun 19, 2020",12502
182,"Jun 18, 2020",12458
183,"Jun 17, 2020",12412
