,World leader,Twitter followers in millions
0,"Donald J. Trump, United States  @RealDonaldTrump",81.1
1,"Narendra Modi, India  @NarendraModi (personal account)",57.9
2,"Pope Francis, Vatican  @Pontifex*",51.2
3,"Narendra Modi, India  @PMOIndia (institutional account)",35.9
4,"President Trump, United States @POTUS",30.2
5,"The White House, United States @WhiteHouse",22.8
6,"Recep Tayyip Erdoğan, Turkey  @RTErdogan",16.1
7,"Joko Widodo, Indonesia @Jokowi",13.8
8,"Imran Khan, Pakistan @imrankhanpti",11.8
9,"Queen Rania, Jordan @QueenRania",10.4
