,Year,GDP per capita in U.S. dollars
0,2024*,75631.87
1,2023*,72466.19
2,2022*,69597.89
3,2021*,66949.98
4,2020*,64829.22
5,2019*,63987.07
6,2018,64578.77
7,2017,60296.79
8,2016,56722.27
9,2015,55645.61
10,2014,57564.8
11,2013,56519.35
12,2012,54891.87
13,2011,53363.94
14,2010,46469.4
15,2009,38577.17
16,2008,39722.15
17,2007,39223.54
18,2006,33579.16
19,2005,29869.9
20,2004,27404.81
21,2003,23573.85
22,2002,22016.98
23,2001,21576.81
24,2000,23793.11
25,1999,21796.25
26,1998,21824.01
27,1997,26386.35
28,1996,26262.26
29,1995,24937.27
30,1994,21577.84
31,1993,18302.53
32,1992,16144.34
33,1991,14504.6
34,1990,12766.06
35,1989,10711.03
36,1988,9316.36
37,1987,7786.65
38,1986,6864.32
39,1985,6781.92
40,1984,7155.39
