,Month,Exchange rate
0,Jan '20,4.3
1,Dec '19,4.26
2,Nov '19,4.32
3,Oct '19,4.26
4,Sep '19,4.37
5,Aug '19,4.38
6,Jul '19,4.29
7,Jun '19,4.25
8,May '19,4.28
9,Apr '19,4.29
10,Mar '19,4.3
11,Feb '19,4.31
12,Jan '19,4.27
13,Dec '18,4.3
14,Nov '18,4.29
15,Oct '18,4.34
16,Sep '18,4.28
17,Aug '18,4.29
18,Jul '18,4.28
19,Jun '18,4.37
20,May '18,4.31
21,Apr '18,4.23
22,Mar '18,4.21
23,Feb '18,4.18
24,Jan '18,4.15
25,Dec '17,4.18
26,Nov '17,4.2
27,Oct '17,4.24
28,Sep '17,4.3
29,Aug '17,4.26
30,Jul '17,4.25
31,Jun '17,4.23
32,May '17,4.17
33,Apr '17,4.22
34,Mar '17,4.23
35,Feb '17,4.31
36,Jan '17,4.32
37,Dec '16,4.44
38,Nov '16,4.39
39,Oct '16,4.31
40,Sep '16,4.32
41,Aug '16,4.35
42,Jul '16,4.36
43,Jun '16,4.44
44,May '16,4.39
45,Apr '16,4.4
46,Mar '16,4.26
47,Feb '16,4.35
48,Jan '16,4.44
49,Dec '15,4.26
50,Nov '15,4.27
51,Oct '15,4.26
52,Sep '15,4.24
53,Aug '15,4.23
54,Jul '15,4.14
55,Jun '15,4.19
56,May '15,4.13
57,Apr '15,4.03
58,Mar '15,4.09
59,Feb '15,4.15
60,Jan '15,4.21
61,Dec '14,4.27
62,Nov '14,4.18
63,Oct '14,4.22
64,Sep '14,4.18
65,Aug '14,4.22
66,Jul '14,4.17
67,Jun '14,4.16
68,May '14,4.14
69,Apr '14,4.2
70,Mar '14,4.17
71,Feb '14,4.17
72,Jan '14,4.25
