,Cities,Percentage of households
0,"New Orleans city, Louisiana",49.4
1,"Cleveland city, Ohio",47.4
2,"Atlanta city, Georgia",46.2
3,"St. Louis city, Missouri",46.2
4,"Pittsburgh city, Pennsylvania",45.9
5,"Washington city, District of Columbia",45.6
6,"Cincinnati city, Ohio",43.9
7,"Detroit city, Michigan",41.9
8,"Baltimore city, Maryland",40.3
9,"Denver city, Colorado",39.8
10,"Memphis city, Tennessee",38.8
11,"Minneapolis city, Minnesota",38.8
12,"Toledo city, Ohio",38.6
13,"Arlington CDP, Virginia",38.4
14,"St. Petersburg city, Florida",38.4
15,"Seattle city, Washington",38.3
16,"Philadelphia city, Pennsylvania",38.2
17,"St. Paul city, Minnesota",37.9
18,"Buffalo city, New York",37.9
19,"Indianapolis city (balance), Indiana",37.5
20,"Chicago city, Illinois",37.3
21,"Orlando city, Florida",37.1
22,"Reno city, Nevada",36.9
23,"Kansas City city, Missouri",36.8
24,"Dallas city, Texas",36.4
