,Country,Number of outbound trips in thousands
0,Germany,108541.53
1,France,53323.93
2,Sweden *,21232.44
3,Netherlands,20871.39
4,Spain,16432.5
5,Italy,14336.16
6,Belgium,13098.41
7,Poland*,11958.13
8,Austria,11883.18
9,Finland,9475.93
10,Denmark *,7630.47
11,Czechia,7390.01
12,Ireland,7343.52
13,Hungary,7315.0
14,Slovakia,4662.05
15,Slovenia,3187.7
16,Lithuania,2244.33
17,Portugal,2163.85
18,Estonia,2068.47
19,Croatia,2057.87
20,Luxembourg *,1802.47
21,Cyprus,1434.76
22,Latvia,1368.43
23,Romania *,1071.1
24,Bulgaria,940.33
25,Greece,874.33
26,Malta,628.98
