,Industry Type,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,45753.4
1,Construction,22650.1
2,Health care and social assistance,17576.1
3,Manufacturing,17383.2
4,"Professional, scientific and technical services",16141.6
5,Retail trade,14770.3
6,Transportation and warehousing,14728.6
7,Finance and insurance,14431.8
8,Public administration,13957.9
9,Educational services,12968.5
10,"Mining, quarrying, and oil and gas extraction",10919.7
11,Wholesale trade,9539.4
12,Information and cultural industries,8875.5
13,Accommodation and food services,7735.1
14,"Administrative and support, waste management and remediation services",6072.7
15,"Agriculture, forestry, fishing and hunting",5621.4
16,Other services (except public administration),5408.7
17,Utilities,4868.4
18,"Arts, entertainment and recreation",2411.2
19,Management of companies and enterprises,1132.8
