,Year,Population in millions
0,2020,25.5
1,2019,25.2
2,2018,24.9
3,2017,24.58
4,2016,24.26
5,2015,23.93
6,2014,23.6
7,2013,23.25
8,2012,22.9
9,2011,22.54
10,2010,22.15
11,2009,21.75
12,2008,21.33
13,2007,20.92
14,2006,20.53
15,2005,20.18
16,2004,19.88
17,2003,19.62
18,2002,19.4
19,2001,19.19
20,2000,18.99
21,1999,18.79
22,1998,18.59
23,1997,18.39
24,1996,18.19
25,1995,17.99
26,1994,17.8
27,1993,17.6
28,1992,17.4
29,1991,17.19
30,1990,16.96
31,1989,16.71
32,1988,16.45
33,1987,16.18
34,1986,15.92
35,1985,15.66
36,1984,15.42
37,1983,15.19
38,1982,14.98
39,1981,14.78
40,1980,14.59
41,1979,14.41
42,1978,14.25
43,1977,14.09
44,1976,13.94
45,1975,13.77
46,1974,13.61
47,1973,13.43
48,1972,13.24
49,1971,13.03
50,1970,12.79
51,1969,12.52
52,1968,12.22
53,1967,11.9
54,1966,11.59
55,1965,11.31
56,1964,11.07
57,1963,10.85
58,1962,10.64
59,1961,10.45
60,1960,10.24
61,1959,10.03
62,1958,9.81
63,1957,9.59
64,1956,9.37
65,1955,9.17
66,1954,8.97
67,1953,8.78
68,1952,8.6
69,1951,8.4
70,1950,8.18
71,1949,7.95
72,1948,7.75
73,1947,7.6
74,1946,7.49
75,1945,7.4
76,1944,7.32
77,1943,7.25
78,1942,7.18
79,1941,7.12
80,1940,7.05
81,1939,6.98
82,1938,6.92
83,1937,6.85
84,1936,6.8
85,1935,6.74
86,1934,6.69
87,1933,6.64
88,1932,6.59
89,1931,6.53
90,1930,6.47
91,1929,6.4
92,1928,6.31
93,1927,6.19
94,1926,6.07
95,1925,5.95
96,1924,5.83
97,1923,5.71
98,1922,5.59
99,1921,5.47
100,1920,5.35
101,1919,5.2
102,1918,5.07
103,1917,4.99
104,1916,4.97
105,1915,4.96
106,1914,4.92
107,1913,4.81
108,1912,4.67
109,1911,4.52
110,1910,4.41
111,1909,4.3
112,1908,4.21
113,1907,4.14
114,1906,4.09
115,1905,4.02
116,1904,3.96
117,1903,3.91
118,1902,3.85
119,1901,3.8
120,1900,3.74
121,1899,3.69
122,1898,3.63
123,1897,3.58
124,1896,3.52
125,1895,3.45
126,1894,3.39
127,1893,3.32
128,1892,3.25
129,1891,3.17
130,1890,3.09
131,1889,3.01
132,1888,2.92
133,1887,2.83
134,1886,2.74
135,1885,2.65
136,1884,2.56
137,1883,2.48
138,1882,2.4
139,1881,2.32
140,1880,2.25
141,1879,2.18
142,1878,2.12
143,1877,2.06
144,1876,2.02
145,1875,1.96
146,1874,1.91
147,1873,1.86
148,1872,1.82
149,1871,1.77
150,1870,1.72
151,1869,1.68
152,1868,1.64
153,1867,1.59
154,1866,1.55
155,1865,1.51
156,1864,1.46
157,1863,1.41
158,1862,1.36
159,1861,1.31
160,1860,1.26
161,1859,1.2
162,1858,1.14
163,1857,1.08
164,1856,1.03
165,1855,0.98
166,1854,0.93
167,1853,0.88
168,1852,0.83
169,1851,0.79
170,1850,0.74
171,1849,0.7
172,1848,0.66
173,1847,0.62
174,1846,0.58
175,1845,0.54
176,1844,0.51
177,1843,0.49
178,1842,0.47
179,1841,0.45
180,1840,0.43
181,1839,0.42
182,1838,0.41
183,1837,0.4
184,1836,0.39
185,1835,0.38
186,1834,0.37
187,1833,0.37
188,1832,0.36
189,1831,0.35
190,1830,0.35
191,1829,0.34
192,1828,0.34
193,1827,0.34
194,1826,0.34
195,1825,0.34
196,1824,0.33
197,1823,0.33
198,1822,0.33
199,1821,0.33
200,1820,0.33
201,1819,0.34
202,1818,0.34
203,1817,0.34
204,1816,0.34
205,1815,0.34
206,1814,0.34
207,1813,0.34
208,1812,0.34
209,1811,0.34
210,1810,0.34
211,1809,0.34
212,1808,0.34
213,1807,0.35
214,1806,0.35
215,1805,0.35
216,1804,0.35
217,1803,0.35
218,1802,0.35
219,1801,0.35
220,1800,0.35
