,Country,Change compared to the same quarter of the previous year
0,Ireland*,5.3%
1,Bulgaria,0.8%
2,Malta*,0.7%
3,Belgium,0.4%
4,Austria,0.2%
5,Luxembourg*,-0.2%
6,Estonia*,-0.8%
7,Greece*,-0.9%
8,Slovenia*,-3.4%
9,Lithuania,-3.7%
10,Finland,-5.2%
11,Poland,-7.9%
12,Sweden,-8.3%
13,Denmark,-8.5%
14,Netherlands,-9%
15,Latvia,-9.6%
16,Romania,-10.5%
17,Czech Republic,-10.7%
18,Germany,-11.7%
19,Cyprus,-11.9%
20,Slowakia,-12.1%
21,Croatia,-13.3%
22,Hungary,-13.5%
23,EU,-14.1%
24,Euro area,-15%
25,Portugal,-16.3%
26,Italy,-17.3%
27,France,-19%
28,Spain,-22.1%
