,Month,Cumulative number of hospitalizations
0,June 21,89995
1,June 20,89995
2,June 19,89995
3,June 18,89995
4,June 17,89995
5,June 16,89995
6,June 15,89995
7,June 14,89995
8,June 13,89995
9,June 12,89995
10,June 11,89995
11,June 10,89995
12,June 9,89995
13,June 8,89995
14,June 7,89995
15,June 6,89995
16,June 5,89995
17,June 4,89995
18,June 3,89995
19,June 2,89995
20,June 1,89861
21,May 31,89703
22,May 30,89590
23,May 29,89400
24,May 28,89194
25,May 27,89042
26,May 26,88866
27,May 25,88686
28,May 24,88554
29,May 23,88324
30,May 22,88083
31,May 21,87843
32,May 20,87638
33,May 19,87459
34,May 18,87169
35,May 17,86901
36,May 16,86575
37,May 15,86207
38,May 14,85782
39,May 13,85454
40,May 12,85008
41,May 11,84489
42,May 10,84194
43,May 9,83761
44,May 8,83285
45,May 7,82730
46,May 6,82197
47,May 5,81570
48,May 4,80918
49,May 3,80376
50,May 2,79768
51,May 1,78942
52,Apr 30,78224
53,Apr 29,77400
54,Apr 28,76450
55,Apr 27,75362
56,Apr 26,74602
57,Apr 25,73540
58,Apr 24,72444
59,Apr 23,71373
60,Apr 22,70182
61,Apr 21,68773
62,Apr 20,67271
63,Apr 19,65969
64,Apr 18,64550
65,Apr 17,63103
66,Apr 16,61120
67,Apr 15,59052
68,Apr 14,56968
69,Apr 13,54653
70,Apr 12,52936
71,Apr 11,50919
72,Apr 10,48297
73,Apr 9,45768
74,Apr 8,42852
75,Apr 7,39982
76,Apr 6,36932
77,Apr 5,34377
78,Apr 4,32293
79,Apr 3,29471
80,Apr 2,26210
81,Apr 1,22786
82,Mar 31,19929
83,Mar 30,17085
84,Mar 29,14578
85,Mar 28,12695
86,Mar 27,10454
87,Mar 26,8732
88,Mar 25,6921
89,Mar 24,5126
90,Mar 23,4041
91,Mar 22,3125
92,Mar 21,2354
