,Quarter,Revenue in billion U.S. dollars
0,Q3'19,3.3
1,Q2'19,3.81
2,Q1'19,4.17
3,Q4'18,4.02
4,Q3'18,3.26
5,Q2'18,3.47
6,Q1'18,3.76
7,Q4'17,3.92
8,Q3'17,3.17
9,Q2'17,3.26
10,Q1'17,3.34
11,Q4'16,3.52
12,Q3'16,3.08
13,Q2'16,3.29
14,Q1'16,3.59
15,Q4'15,3.59
16,Q3'15,3.26
17,Q2'15,3.22
18,Q1'15,3.5
19,Q4'14,3.68
20,Q3'14,3.37
21,Q2'14,3.19
22,Q1'14,3.57
23,Q4'13,3.57
24,Q3'13,3.3
25,Q2'13,3.37
26,Q1'13,4.04
27,Q4'12,3.7
28,Q3'12,3.27
29,Q2'12,3.33
30,Q1'12,3.92
31,Q4'11,3.61
32,Q3'11,3.37
33,Q2'11,3.59
34,Q1'11,3.51
35,Q4'10,3.9
36,Q3'10,3.3
37,Q2'10,3.33
38,Q1'10,3.53
