,Quarter,Revenue in billion U.S. dollars
0,Q4 '19,87.44
1,Q3 '19,69.98
2,Q2 '19,63.4
3,Q1 '19,59.7
4,Q4 '18,72.38
5,Q3 '18,56.58
6,Q2 '18,52.89
7,Q1 '18,51.04
8,Q4 '17,60.5
9,Q3 '17,43.74
10,Q2 '17,37.96
11,Q1 '17,35.71
12,Q4 '16,43.74
13,Q3 '16,32.71
14,Q2 '16,30.4
15,Q1 '16,29.13
16,Q4 '15,35.75
17,Q3 '15,25.36
18,Q2 '15,23.19
19,Q1 '15,22.72
20,Q4 '14,29.33
21,Q3 '14,20.58
22,Q2 '14,19.34
23,Q1 '14,19.74
24,Q4 '13,25.59
25,Q3 '13,17.09
26,Q2 '13,15.7
27,Q1 '13,16.07
28,Q4 '12,21.27
29,Q3 '12,13.81
30,Q2 '12,12.83
31,Q1 '12,13.19
32,Q4 '11,17.43
33,Q3 '11,10.88
34,Q2 '11,9.91
35,Q1 '11,9.86
36,Q4 '10,12.95
37,Q3 '10,7.56
38,Q2 '10,6.57
39,Q1 '10,7.13
40,Q4 '09,9.52
41,Q3 '09,5.45
42,Q2 '09,4.65
43,Q1 '09,4.89
44,Q4 '08,6.7
45,Q3 '08,4.26
46,Q2 '08,4.06
47,Q1 '08,4.14
48,Q4 '07,5.67
49,Q3 '07,3.26
50,Q2 '07,2.89
51,Q1 '07,3.02
