,university,Reputation score
0,Harvard University (US),100.0
1,Massachusetts Institute of Technology (US),87.5
2,Stanford University (US),78.1
3,University of Cambridge (UK),75.2
4,University of Oxford (UK),74.0
5,"University of California, Berkeley (US)",59.1
6,Princeton University (US),38.2
7,Yale University (US),34.8
8,"University of California, Los Angeles (US)",29.7
9,University of Tokyo (Japan),28.3
10,California Institute of Technology (US),28.1
11,University of Chicago (US),26.0
12,Tsinghua University (China),23.6
13,Columbia University (US),23.4
14,University of Michigan-Ann Arbor (US),20.6
15,Peking University (China),19.6
16,ETH Zurich (Switzerland),18.2
17,UCL (UK),17.5
18,Johns Hopkins University (US),16.9
19,University of Toronto (Canada),16.7
