,Month,Market share
0,Sep 20,8.33%
1,Aug 20,10.08%
2,Jul 20,8.93%
3,Jun 20,8.55%
4,May 20,5.91%
5,Apr 20,4.86%
6,Mar 20,9.01%
7,Feb 20,11.24%
8,Jan 20,8.84%
9,Dec 19,9.86%
10,Nov 19,9.78%
11,Oct 19,9.59%
12,Sep 19,5.72%
13,Aug 19,12.24%
14,Jul 19,9.66%
15,Jun 19,9.16%
16,May 19,8.57%
17,Apr 19,9.41%
18,Mar 19,8.37%
19,Feb 19,9.71%
20,Jan 19,8.21%
21,Dec 18,11.11%
22,Nov 18,9.94%
23,Oct 18,8.9%
24,Sep 18,4.81%
25,Aug 18,11.96%
26,Jul 18,10.23%
27,Jun 18,9.88%
28,May 18,9.39%
29,Apr 18,8.7%
30,Mar 18,7.98%
31,Feb 18,8.71%
32,Jan 18,7.69%
33,Dec 17,10.06%
34,Nov 17,8.55%
35,Oct 17,8.7%
36,Sep 17,8.53%
37,Aug 17,9.06%
38,Jul 17,8.7%
39,Jun 17,9.3%
40,May 17,8.41%
41,Apr 17,6.55%
42,Mar 17,7.02%
43,Feb 17,8.81%
44,Jan 17,7.43%
45,Dec 16,8.78%
46,Nov 16,7.8%
47,Oct 16,7.78%
