,Month,Price index*
0,Nov 19,110.64
1,Oct 19,99.53
2,Sep 19,106.67
3,Aug 19,122.47
4,Jul 19,150.45
5,Jun 19,150.45
6,May 19,146.81
7,Apr 19,143.16
8,Mar 19,138.93
9,Feb 19,139.57
10,Jan 19,138.22
11,Dec 18,136.87
12,Nov 18,136.37
13,Oct 18,124.09
14,Sep 18,134.3
15,Aug 18,146.89
16,Jul 18,116.57
17,Jun 18,115.14
18,May 18,115.18
19,Apr 18,110.3
20,Mar 18,108.95
21,Feb 18,106.83
22,Jan 18,101.13
23,Dec 17,98.29
24,Nov 17,95.08
25,Oct 17,87.01
26,Sep 17,98.5
27,Aug 17,113.03
28,Jul 17,126.5
29,Jun 17,136.82
30,May 17,146.96
31,Apr 17,152.72
32,Mar 17,154.45
33,Feb 17,149.52
34,Jan 17,142.25
35,Dec 16,140.32
36,Nov 16,131.63
37,Oct 16,108.87
38,Sep 16,116.62
39,Aug 16,124.27
40,Jul 16,143.76
41,Jun 16,178.76
42,May 16,156.8
43,Apr 16,141.32
44,Mar 16,121.08
45,Feb 16,110.27
46,Jan 16,108.45
47,Dec 15,104.29
48,Nov 15,99.1
49,Okt 15,98.66
50,Sep 15,108.35
51,Aug 15,123.3
52,Jul 15,118.16
53,Jun 15,108.41
54,May 15,96.59
55,Apr 15,90.71
56,Mar 15,86.8
57,Feb 15,84.65
58,Jan 15,80.97
59,Dec 14,80.57
60,Nov 14,79.14
61,Oct 14,82.1
62,Sep 14,92.09
63,Aug 14,103.3
64,Jul 14,63.41
65,Jun 14,103.85
66,May 14,112.75
67,Apr 14,109.37
