,Month,Prime Minister (May/Johnson),Opposition (Corbyn)
0,Oct-19,-19%,-42%
1,Sep-19,-6%,-43%
2,Aug-19,-6%,-43%
3,Jul-19,-38%,-48%
4,Jun-19,-37%,-44%
5,May-19,-48%,-41%
6,Apr-19,-46%,-41%
7,Mar-19,-30%,-41%
8,Feb-19,-24%,-37%
9,Jan-19,-30%,-33%
10,Dec-18,-24%,-26%
11,Nov-18,-24%,-24%
12,Oct-18,-23%,-27%
13,Sep-18,-30%,-30%
14,Aug-18,-32%,-28%
15,Jul-18,-20%,-20%
16,Jun-18,-23%,-18%
17,May-18,-17%,-17%
18,Apr-18,-8%,-16%
19,Mar-18,-13%,-17%
20,Feb-18,-17%,-9%
21,Jan-18,-21%,-7%
22,Dec-17,-25%,-9%
23,Nov-17,-16%,-6%
24,Oct-17,-22%,-9%
