,Response,Share of respondents
0,Lead digital buisness/digital transformation activities,37%
1,Improve remote work experiences,37%
2,Upgrade IT and data security to boost corporate resiliency,29%
3,Reduce or rationalize IT spending,28%
4,Help reach specific goal for corporate revenue growth,25%
5,Identify new data-driven business opportunities,24%
6,Enable new plan for customer acquisition & retention,23%
7,Collaborate with business departments om major customer initiative,22%
8,Lead a product innovation effort,14%
9,Increases collaboration with LOB to help streamline technology purchases,11%
10,Lead merger integration or due dilligence on a potential acquisition,8%
