,Year,Inflation rate compared to previous year
0,2025*,0.99%
1,2024*,0.83%
2,2023*,0.77%
3,2022*,0.67%
4,2021*,0.3%
5,2020*,-0.06%
6,2019,0.48%
7,2018,0.98%
8,2017,0.47%
9,2016,-0.12%
10,2015,0.79%
11,2014,2.76%
12,2013,0.34%
13,2012,-0.06%
14,2011,-0.27%
15,2010,-0.72%
16,2009,-1.35%
17,2008,1.38%
18,2007,0.06%
19,2006,0.25%
20,2005,-0.28%
21,2004,-0.01%
22,2003,-0.26%
23,2002,-0.92%
24,2001,-0.74%
25,2000,-0.68%
26,1999,-0.34%
27,1998,0.67%
28,1997,1.75%
29,1996,0.14%
30,1995,-0.13%
31,1994,0.7%
32,1993,1.24%
33,1992,1.76%
34,1991,3.25%
35,1990,3.08%
36,1989,2.27%
37,1988,0.68%
38,1987,0.13%
39,1986,0.6%
40,1985,2.03%
