,State,Percentage of population
0,California,26.7%
1,New Jersey,23.4%
2,New York,22.4%
3,Florida,21.1%
4,Nevada,19.8%
5,Hawaii,19.3%
6,Massachusetts,17.3%
7,Texas,17.1%
8,Maryland,15.4%
9,Washington,14.9%
10,Connecticut,14.8%
11,Illinois,13.9%
12,United States,13.7%
13,Rhode Island,13.7%
14,Arizona,13.4%
15,Virginia,12.7%
16,District of Columbia,12.1%
17,Georgia,10.3%
18,Delaware,10%
19,Oregon,9.7%
20,New Mexico,9.6%
21,Colorado,9.5%
22,Utah,8.6%
23,North Carolina,8.4%
24,Minnesota,8.4%
25,Alaska,8%
26,Nebraska,7.4%
27,Kansas,7.2%
28,Pennsylvania,7%
29,Michigan,7%
30,New Hampshire,6.4%
31,Oklahoma,6.1%
32,Idaho,5.8%
33,Iowa,5.6%
34,South Carolina,5.6%
35,Tennessee,5.5%
36,Indiana,5.3%
37,Arkansas,5.1%
38,Wisconsin,5.1%
39,Ohio,4.8%
40,Vermont,4.7%
41,Kentucky,4.4%
42,Missouri,4.3%
43,Louisiana,4.2%
44,North Dakota,4.1%
45,South Dakota,4.1%
46,Maine,3.9%
47,Alabama,3.6%
48,Wyoming,3.1%
49,Montana,2.3%
50,Mississippi,2.1%
51,West Virginia,1.6%
