,Team,Salary in thousand U.S. dollars
0,Toronto FC,902.41
1,LA Galaxy,648.15
2,New York City FC,544.23
3,Chicago Fire,492.86
4,Los Angeles FC,479.64
5,Seattle Sounders FC,421.48
6,Portland Timbers,417.33
7,Montreal Impact,383.55
8,Colorado Rapids,366.67
9,Atlanta United,364.94
10,Sporting Kansas City,327.86
11,Orlando City SC,309.66
12,Philadelphia Union,307.59
13,FC Dallas,300.97
14,Real Salt Lake,299.33
15,New England Revolution,272.8
16,Minnesota United FC,271.67
17,San Jose Earthquakes,268.62
18,New York Red Bulls,265.17
19,D.C. United,259.23
20,Columbus Crew SC,258.15
21,Vancouver Whitecaps FC,257.19
22,Houston Dynamo,195.52
