,Year,GDP per capita in U.S. dollars
0,2025*,532.96
1,2024*,517.74
2,2023*,502.83
3,2022*,489.99
4,2021*,477.89
5,2020*,456.89
6,2019,508.95
7,2018,495.64
8,2017,407.71
9,2016,409.05
10,2015,435.98
11,2014,425.33
12,2013,398.63
13,2012,346.38
14,2011,318.05
15,2010,275.67
16,2009,252.44
17,2008,272.14
18,2007,240.34
19,2006,216.82
20,2005,187.19
21,2004,172.83
22,2003,159.64
23,2002,165.76
24,2001,165.27
25,2000,397.03
26,1999,410.45
27,1998,461.12
28,1997,642.73
29,1996,731.02
30,1995,584.27
31,1994,621.05
32,1993,1182.37
33,1992,935.23
34,1991,1070.24
35,1990,1138.48
36,1989,1135.11
37,1988,1152.29
38,1987,1027.35
39,1986,1120.94
40,1985,1032.03
