,Response,Share of sales
0,Jul 20,28.1%
1,Jun 20,31.1%
2,May 20,32.8%
3,Apr 20,30.1%
4,Mar 20,21.9%
5,Feb 20,19%
6,Jan 20,20.1%
7,Dec 19,21.4%
8,Nov 19,21.5%
9,Oct 19,19.1%
10,Sep 19,18.1%
11,Aug 19,18.1%
12,Jul 19,18.7%
13,Jun 19,18.3%
14,May 19,18.8%
15,Apr 19,18.4%
16,Mar 19,18.9%
17,Feb 19,18.3%
18,Jan 19,19.3%
19,Dec 18,19.7%
20,Nov 18,21.6%
21,Oct 18,18.1%
22,Sep 18,17.2%
23,Aug 18,16.7%
24,July 18,17.1%
25,June 18,17.5%
26,May 18,17.5%
27,Apr 18,17.2%
28,Mar 18,17.3%
29,Feb 18,16.8%
30,Jan 18,17.7%
31,Dec 17,17.9%
32,Nov 17,19.9%
33,Oct 17,16.5%
34,Sep 17,16%
35,Aug 17,15.4%
36,Jul 17,15.5%
37,Jun 17,15.8%
38,May 17,15.4%
