,Year,Number of countries
0,1977,147
1,1976,146
2,1975,144
3,1974,141
4,1973,140
5,1972,139
6,1971,133
7,1970,129
8,1969,124
9,1968,119
10,1967,111
11,1966,110
12,1965,105
13,1964,100
14,1963,100
15,1962,97
16,1961,93
17,1960,90
18,1959,85
19,1958,81
20,1957,81
21,1956,79
22,1955,78
23,1954,77
24,1953,75
25,1952,73
26,1951,72
27,1950,66
28,1949,65
29,1948,63
30,1947,57
31,1946,56
32,1945,55
33,1944,55
34,1943,53
35,1942,53
36,1941,53
37,1940,53
38,1939,53
39,1938,52
40,1937,51
41,1936**,51
42,1935,35
43,1934,35
44,1933,34
45,1932,33
46,1931,33
47,1930,33
48,1929,33
49,1928,33
50,1927,33
51,1926,33
52,1925**,31
53,1924,25
54,1923,22
55,1922,18
56,1921,14
57,1920,14
58,1919,10
59,1918,10
60,1917,9
61,1916,8
62,1915,8
63,1914,8
64,1913,7
65,1912,7
66,1911,7
67,1910,7
68,1909,7
69,1908,7
70,1907,7
71,1906,6
72,1905,6
73,1904,6
74,1903,5
75,1902,5
76,1901,5
77,1900,4
78,1899,3
79,1898,3
80,1897,2
81,1896,2
82,1895,2
83,1894,1
84,1893,1
85,1892,1
86,1891,1
87,1890,1
88,1889,1
89,1888,1
90,1887,1
91,1886,1
92,1885,1
93,1884,1
94,1883,1
95,1882,1
96,1881,1
97,1880,1
98,1879,1
99,1878,1
100,1877,1
101,1876,1
102,1875,1
103,1874,1
104,1873,1
105,1872,1
