,Country,National debt in billion euros
0,France,2438.46
1,Italy,2431.08
2,Germany,2107.43
3,Spain,1224.16
4,Belgium,492.35
5,Netherlands,403.14
6,Greece,329.3
7,Austria,289.13
8,Portugal,254.77
9,Poland,242.39
10,Ireland,213.79
11,Sweden,163.85
12,Finland,154.73
13,Denmark,103.36
14,Hungary,87.71
15,Romania,83.21
16,Czech Republic,69.34
17,Slovakia,46.35
18,Croatia,39.18
19,Slovenia,33.41
20,Cyprus,21.53
21,Lithuania,16.23
22,Luxembourg,14.24
23,Bulgaria,12.4
24,Latvia,11.29
25,Malta,5.93
26,Estonia,2.5
