,Country,Average life expectancy in years at birth
0,"China, Hong Kong SAR",89.22
1,"China, Macao SAR",88.55
2,Japan,88.53
3,Switzerland,87.76
4,Singapore,87.63
5,Italy,87.6
6,Spain,87.58
7,Australia,87.5
8,Republic of Korea,87.35
9,Martinique,87.23
10,Channel Islands,87.18
11,Israel,87.13
12,Iceland,87.12
13,Sweden,86.96
14,Guadeloupe,86.83
15,Malta,86.81
16,France,86.81
17,Canada,86.75
18,Ireland,86.69
19,Luxembourg,86.62
20,New Zealand,86.61
21,Norway,86.6
22,Greece,86.53
23,Portugal,86.51
24,Netherlands,86.48
