,Year,Gross domestic product in billion international dollars
0,2021*,208.59
1,2020*,199.33
2,2019*,200.83
3,2018,200.4
4,2017,198.01
5,2016,194.64
6,2015,197.75
7,2014,193.88
8,2013,181.6
9,2012,170.05
10,2011,153.71
11,2010,145.52
12,2009,137.18
13,2008,134.98
14,2007,119.1
15,2006,101.73
16,2005,88.52
17,2004,74.63
18,2003,65.5
19,2002,62.44
20,2001,54.08
21,2000,50.78
22,1999,48.2
23,1998,46.5
24,1997,43.92
25,1996,40.25
26,1995,35.54
27,1994,31.54
28,1993,27.95
29,1992,24.6
30,1991,21.59
31,1990,18.63
32,1989,18.6
33,1988,17.89
34,1987,16.29
35,1986,15.27
36,1985,14.55
37,1984,13.62
