,Year,Number of employees
0,1/11/2021,13031
1,1/9/2021,12963
2,1/6/2021,12692
3,1/4/2021,12400
4,1/1/2021,12101
5,12/29/2020,11970
6,12/26/2020,11907
7,12/23/2020,11818
8,12/20/2020,11688
9,12/17/2020,11561
10,12/14/2020,11438
11,12/11/2020,11315
12,12/8/2020,10951
13,12/5/2020,10654
14,12/2/2020,10181
15,11/29/2020,9755
16,11/26/2020,9143
17,11/23/2020,8650
18,11/20/2020,8479
19,11/17/2020,8323
20,11/15/2020,8227
21,11/12/2020,8083
22,11/9/2020,7594
23,11/6/2020,7450
24,11/3/2020,7278
25,10/31/2020,7031
26,10/28/2020,6721
27,10/25/2020,6603
28,10/22/2020,6490
29,10/18/2020,6320
30,10/14/2020,6199
31,10/10/2020,6082
32,10/6/2020,5752
33,10/2/2020,5632
34,9/28/2020,5433
35,9/24/2020,5410
36,9/17/2020,5291
37,9/12/2020,5220
38,9/8/2020,5176
39,9/4/2020,5152
40,9/1/2020,5073
41,8/28/2020,5024
42,8/24/2020,4977
43,8/20/2020,4904
44,8/16/2020,4827
45,8/12/2020,4729
46,8/8/2020,4345
47,8/4/2020,4194
48,7/31/2020,4077
49,7/27/2020,3921
50,7/23/2020,3710
51,7/19/2020,3566
52,7/15/2020,3432
53,7/11/2020,3360
54,7/7/2020,3271
55,7/3/2020,3199
56,6/29/2020,3132
57,6/25/2020,3118
58,6/21/2020,3077
59,6/17/2020,3017
60,6/14/2020,2972
61,6/10/2020,2925
62,6/6/2020,2909
63,6/2/2020,2886
64,5/29/2020,2864
65,5/25/2020,2843
66,5/21/2020,2776
67,5/17/2020,2549
