,Year,Number of countries
0,2021,12
1,2020,16
2,2019,19
3,2018,14
4,2017,14
5,2016,14
6,2015,14
7,2014,17
8,2013,17
9,2012,15
10,2011,15
11,2010,14
12,2009,10
13,2008,6
14,2007,7
15,2006,7
16,2005,6
17,2004,7
18,2003,7
19,2002,6
20,2001,6
21,2000,4
22,1999,5
23,1998,4
24,1997,7
25,1996,7
26,1995,8
27,1994,9
28,1993,8
29,1992,6
30,1991,6
31,1990,6
32,1989,5
33,1988,5
34,1987,4
35,1986,5
36,1985,3
37,1984,5
38,1983,4
39,1982,4
40,1981,4
41,1980,5
42,1979,3
43,1978,0
44,1977,2
45,1976,4
46,1975,4
47,1974,4
48,1973,3
49,1972,3
50,1971,3
51,1970,3
52,1969,2
53,1968,1
54,1967,1
55,1966,1
56,1965,1
57,1964,1
58,1963,1
59,1962,1
60,1961,1
61,1960,1
