,State / Territory,"Reported violent crime rate per 100,000 population"
0,District of Columbia,1049.0
1,Alaska,867.1
2,New Mexico,832.2
3,Tennessee,595.2
4,Arkansas,584.6
5,Louisiana,549.3
6,South Carolina,511.3
7,Alabama,510.8
8,Missouri,495.0
9,Nevada,493.8
10,Arizona,455.3
11,Maryland,454.1
12,California,441.2
13,Michigan,437.4
14,Oklahoma,431.8
15,Delaware,422.6
16,Texas,418.9
17,Kansas,410.8
18,Illinois,406.9
19,Montana,404.9
20,South Dakota,399.0
21,Colorado,381.0
22,United States,379.4
23,Florida,378.4
24,North Carolina,371.8
25,Indiana,370.8
26,New York,358.6
27,Georgia,340.7
28,Massachusetts,327.6
29,West Virginia,316.6
30,Pennsylvania,306.4
31,Nebraska,300.9
32,Washington,293.9
33,Wisconsin,293.2
34,Ohio,293.2
35,Hawaii,285.5
36,North Dakota,284.6
37,Oregon,284.4
38,Mississippi,277.9
39,Iowa,266.6
40,Minnesota,236.4
41,Utah,235.6
42,Idaho,223.8
43,Rhode Island,221.1
44,Wyoming,217.4
45,Kentucky,217.1
46,Virginia,208.0
47,New Jersey,206.9
48,Vermont,202.2
49,Connecticut,183.6
50,New Hampshire,152.5
51,Maine,115.2
