,Month,Exchange rate
0,Nov '20,1.2
1,Oct' 20,1.17
2,Sep '20,1.17
3,Aug '20,1.19
4,Jul '20,1.18
5,Jun '20,1.12
6,May '20,1.11
7,Apr '20,1.09
8,Mar '20,1.1
9,Feb '20,1.1
10,Jan '20,1.11
11,Dec '19,1.12
12,Nov '19,1.1
13,Oct '19,1.12
14,Sep '19,1.08
15,Aug '19,1.1
16,Jul '19,1.12
17,Jun '19,1.14
18,May '19,1.12
19,Apr '19,1.12
20,Mar '19,1.12
21,Feb '19,1.14
22,Jan '19,1.15
23,Dec '18,1.15
24,Nov '18,1.14
25,Oct '18,1.13
26,Sep '18,1.16
27,Aug '18,1.17
28,Jul '18,1.17
29,Jun '18,1.17
30,May '18,1.17
31,Apr '18,1.21
32,Mar '18,1.23
33,Feb '18,1.22
34,Jan '18,1.25
35,Dec '17,1.2
36,Nov '17,1.18
37,Oct '17,1.16
38,Sep '17,1.18
39,Aug '17,1.18
40,Jul '17,1.17
41,Jun '17,1.14
42,May '17,1.12
43,Apr '17,1.09
44,Mar '17,1.07
45,Feb '17,1.06
46,Jan '17,1.08
47,Dec '16,1.05
48,Nov '16,1.08
49,Oct '16,1.1
50,Sep '16,1.12
51,Aug '16,1.11
52,Jul '16,1.11
53,Jun '16,1.11
54,May '16,1.12
55,Apr '16,1.14
56,Mar '16,1.14
57,Feb '16,1.09
58,Jan '16,1.09
59,Dec '15,1.09
60,Nov '15,1.06
61,Oct '15,1.1
62,Sep '15,1.12
63,Aug '15,1.12
64,Jul '15,1.1
65,Jun '15,1.12
66,May '15,1.1
67,Apr '15,1.12
68,Mar '15,1.08
69,Feb '15,1.12
70,Jan '15,1.13
71,Dec '14,1.21
72,Nov '14,1.25
73,Oct '14,1.25
74,Sep '14,1.26
75,Aug '14,1.32
76,Jul '14,1.34
77,Jun '14,1.37
78,May '14,1.36
79,Apr '14,1.39
80,Mar '14,1.38
81,Feb '14,1.38
82,Jan '14,1.35
