,State,Revenue (in million U.S. dollars)
0,University of Texas,93.9
1,University of Alabama,71.9
2,University of Georgia,70.8
3,Penn State University,70.2
4,Louisiana State University,68.8
5,University of Florida,68.7
6,Auburn University,66.2
7,Notre Dame,64.2
8,Ohio State University,63.8
9,University of Michigan,63.2
10,University of Oklahoma,58.3
11,South Carolina,58.3
12,University of Tennessee,56.6
13,University of Nebraska,49.9
14,University of Arkansas,48.5
15,University of Iowa,45.9
16,Michigan State University,44.5
17,Texas A&M,41.9
