,Year,Inflation rate compared to previous year
0,2024*,0.2%
1,2023*,0.2%
2,2022*,0.2%
3,2021*,0.2%
4,2020*,0.15%
5,2019*,0.07%
6,2018,0.15%
7,2017,-0.17%
8,2016,-0.74%
9,2015,-0.42%
10,2014,-0.21%
11,2013,0.39%
12,2012,0.11%
13,2011,0.14%
14,2010,0.22%
15,2009,1.04%
16,2008,2.09%
17,2007,0.97%
18,2006,0.15%
19,2005,1.09%
20,2004,0.9%
21,2003,0.3%
22,2002,-2.29%
23,2001,0.6%
24,2000,1.17%
25,1999,-0.01%
26,1998,-0.42%
27,1997,1.71%
28,1996,1.97%
29,1995,5.97%
30,1994,2.45%
31,1993,4.29%
32,1992,1.26%
33,1991,1.58%
34,1990,2.13%
35,1989,1.31%
36,1988,1.19%
37,1987,1.28%
38,1986,1.78%
39,1985,2.3%
40,1984,3.1%
